filename,f_value,k_value,cluster
GrayScott-f0.0290-k0.0460-00.gif,0.029,0.046,0
GrayScott-f0.0520-k0.0600-00.gif,0.052,0.06,5
GrayScott-f0.0370-k0.0670-00.gif,0.037,0.067,1
GrayScott-f0.0420-k0.0410-00.gif,0.042,0.041,0
GrayScott-f0.0430-k0.0620-00.gif,0.043,0.062,1
GrayScott-f0.0330-k0.0530-00.gif,0.033,0.053,3
GrayScott-f0.0100-k0.0410-00.gif,0.01,0.041,4
GrayScott-f0.0300-k0.0680-00.gif,0.03,0.068,1
GrayScott-f0.0110-k0.0620-00.gif,0.011,0.062,1
GrayScott-f0.0330-k0.0590-00.gif,0.033,0.059,5
GrayScott-f0.0120-k0.0440-00.gif,0.012,0.044,4
GrayScott-f0.0140-k0.0530-00.gif,0.014,0.053,1
GrayScott-f0.0180-k0.0610-00.gif,0.018,0.061,1
GrayScott-f0.0210-k0.0440-00.gif,0.021,0.044,0
GrayScott-f0.0460-k0.0520-00.gif,0.046,0.052,3
GrayScott-f0.0420-k0.0530-00.gif,0.042,0.053,3
GrayScott-f0.0560-k0.0650-00.gif,0.056,0.065,1
GrayScott-f0.0180-k0.0630-00.gif,0.018,0.063,1
GrayScott-f0.0420-k0.0690-00.gif,0.042,0.069,1
GrayScott-f0.0540-k0.0600-00.gif,0.054,0.06,5
GrayScott-f0.0530-k0.0430-00.gif,0.053,0.043,0
GrayScott-f0.0270-k0.0600-00.gif,0.027,0.06,1
GrayScott-f0.0540-k0.0680-00.gif,0.054,0.068,1
GrayScott-f0.0490-k0.0660-00.gif,0.049,0.066,1
GrayScott-f0.0430-k0.0490-00.gif,0.043,0.049,2
GrayScott-f0.0250-k0.0620-00.gif,0.025,0.062,1
GrayScott-f0.0230-k0.0400-00.gif,0.023,0.04,0
GrayScott-f0.0540-k0.0640-00.gif,0.054,0.064,1
GrayScott-f0.0450-k0.0600-00.gif,0.045,0.06,5
GrayScott-f0.0340-k0.0610-00.gif,0.034,0.061,1
GrayScott-f0.0180-k0.0670-00.gif,0.018,0.067,1
GrayScott-f0.0280-k0.0690-00.gif,0.028,0.069,1
GrayScott-f0.0270-k0.0640-00.gif,0.027,0.064,1
GrayScott-f0.0190-k0.0640-00.gif,0.019,0.064,1
